YearBuilt,LotArea,Weight_pred
1915,8094,143574.67936949508
1912,12900,151721.27197893185
1920,3068,122932.38615338295
1959,15263,162087.47780303351
1917,10632,74788.33818386329
1915,9900,94710.72082379063
1940,6001,97070.33719133046
1907,6449,89608.58544120568
1910,6048,130725.39047252202
1967,10773,107861.06062265973
1966,7800,129723.90930885472
1968,7832,122089.05281145357
1978,7424,147764.8139279514
1968,11227,146364.86521234136
1977,20062,250286.06059868884
1927,9259,76640.14870697286
1978,17082,227104.04874900723
1938,18600,115187.636129734
1950,11479,141754.9710300003
1947,9350,106853.85246931436
1954,9525,142530.01299193111
2009,17485,236189.48260220367
1964,11200,121847.91270638368
1987,11980,237842.0758119331
1993,12361,231451.71028508322
2010,7360,180781.22583057318
1900,14235,140211.13160362953
1996,11105,129699.73932294955
1997,9337,190805.21143915315
1977,15240,159863.067601244
1972,7480,132786.6952398515
2003,10389,275625.41544053226
1997,9375,227061.97040653642
2003,4435,144581.64541276035
1945,8777,47638.97250353494
1954,8842,116177.13095169528
1968,10044,167167.37902931115
1948,11792,103936.73557537732
1975,6305,133899.513412997
1958,6410,89196.36819624521
1924,4853,118135.24890281545
1939,7890,132929.52793813412
1967,7200,135048.85548632705
1931,9839,113242.97124336184
1941,10452,224164.57275632763
1950,15600,186837.88039631455
1994,19645,210800.96807114687
1989,3907,202031.79762561555
1989,3907,179046.5096419853
1941,8154,35927.066162250194
1921,9140,122957.63766412805
1896,8712,78713.16053941847
2004,3811,297156.8906248856
1998,11050,239560.57385353048
1977,9620,158396.45809778487
1976,12760,164048.0607708267
2008,11896,208750.7016409824
2009,9803,180363.00034235202
2006,9802,152002.50614847272
1965,15300,136528.70355042742
2004,10114,194026.80307006044
1999,11875,164410.71177107608
1973,2394,151071.7324789272
1970,1476,83654.0994570001
1970,1900,67941.37416538324
1972,1890,85704.24815062873
1971,6953,117532.51367818633
1984,12887,152049.71315461473
1985,7700,157215.31712499855
1991,10475,132407.77220268015
1969,10544,142082.18435270808
1994,9892,266942.64364366553
1993,12961,213925.5154270448
1956,13008,109729.55030364393
1974,10200,178027.44570549147
1997,10179,180595.005632065
2003,11792,280530.71752692317
1996,8400,175668.37613514715
2004,7296,323327.5465773024
1998,7380,221187.2932122165
1995,8013,232014.13339467562
1998,8923,183571.64444021927
1998,7500,187103.4454446694
1994,8803,173257.72177746767
1993,7250,148125.78254527875
1977,11900,183839.5030621014
1978,13250,205033.441359511
1978,10928,180923.38563248576
1980,12388,244616.51719639718
1978,11088,174624.44446526372
2003,7000,254536.0999157395
2000,7500,225279.36954626927
2002,8470,227743.57503501314
1975,9373,213056.66210337874
1974,10140,159918.22102437046
1975,11050,156085.6409844913
1970,7830,125358.49122613657
1971,8510,130444.95864402098
1970,7038,117228.00451887844
1971,9000,117376.71347174153
1973,1680,103953.31090708346
1972,1680,105402.80010843955
1976,2308,144329.49249909134
1975,2280,128738.29909352466
1977,2349,132353.57732087327
1978,2364,145078.365667014
1978,2364,144352.0132958648
1976,2104,119282.5790629362
1966,10710,148154.12223810528
2007,14257,417026.76810346363
2009,12350,364532.7495030877
2008,12350,377223.9774407663
2007,13693,460897.3254932598
2008,11578,333840.47694444086
2004,16870,331330.1665996569
2007,23303,364735.7915551128
2008,10367,357453.26750799466
2006,10872,319388.78569886007
2008,13514,356846.0758497558
2003,12878,266911.6037580587
2003,15274,397790.71644209925
2003,13262,288645.28119676316
2006,9658,255627.56528935983
2005,6904,204190.48179888388
2005,5122,199519.9325036575
2007,10307,215773.07159734308
2004,14836,452544.6463091214
2003,15262,379191.8698576974
2008,7390,320974.75071680895
2008,6472,291964.8315885443
2002,16770,329343.4648566573
2003,3480,200298.90264647343
2005,10928,188167.25768367015
2005,8918,182901.63082573077
2005,3182,167338.85373129803
2004,9434,187426.67135844866
2004,7984,192520.9330693296
2004,10125,203622.43113163777
2003,8965,200244.79020663816
2003,8174,190597.372140862
2002,12891,273321.3115176525
2004,9734,188537.90388805076
2000,8433,178459.16494030147
1999,7750,175234.0839390722
1999,15896,256591.58929011278
1999,7848,178730.83398652688
2000,12720,328768.64674959506
1994,10750,307342.5733733018
1995,9085,260715.5586524113
1993,11692,278463.4141636258
2008,11194,249795.93207937386
2008,10206,240516.16142361288
2007,10130,266906.91990480927
2006,9139,262460.4915894634
2005,11128,406607.90952267416
2008,7993,227889.77853907348
2008,8640,211463.71872835347
2007,12606,255081.5223792101
2006,7500,218751.17369172207
2006,10603,278251.1134613762
2008,8125,245740.0843728143
2006,10625,269630.9106684925
2003,8736,221828.59737654688
2003,8127,208430.1732837846
2007,9605,189540.4640284717
2006,7500,188054.81080788042
2004,7500,140680.83071922808
2004,10628,233340.71876047488
2004,10141,234520.04689697828
2004,13072,183563.89269028098
2004,13072,132284.20951641092
2003,12450,163094.3524704936
2008,7328,200096.26614845186
1996,11492,229920.14706165536
1992,7703,190610.398984384
1990,7175,147011.384831177
1994,9109,193736.51302349204
1986,10274,158691.8163795548
1981,8250,166835.44105063373
1962,9750,129038.5600751868
1961,8499,133154.52680044356
1961,9079,107725.62868177355
1965,9316,116087.18548512824
1963,7791,140613.25268144632
1962,7150,108150.87335111517
1980,15676,294226.8090293512
1991,11949,248325.12872884033
2004,2880,257765.8176477037
2008,3830,197533.25482857606
2008,4217,183036.64553654208
2000,2998,171307.6703415648
1999,3768,181238.78139556685
1977,14694,317856.973138301
1981,15417,228737.94056100043
1976,9600,236551.55158229748
1974,12732,217951.9355279014
1967,10400,231472.47717703777
1969,9600,148671.0171600253
1969,9000,143725.0429326007
1977,13774,245283.62887578562
1967,7130,101538.5160327774
1967,9600,155192.32837504786
1974,9600,204144.69409871806
1971,16500,163857.45368956504
1960,7436,124389.08378004874
1959,8125,116046.31311849906
1957,9450,141856.28502411075
1956,13495,158681.23494172786
1961,9350,158094.62263703748
1964,10500,155159.47601109737
1965,8970,175664.26343840914
1961,11475,198378.58287428075
1955,9768,110011.9188280515
1967,9900,182346.4937264387
1961,10573,185724.12508976617
1966,14695,213433.62989424614
1956,8760,140906.3251400035
1960,12285,159245.59943534958
1959,9240,158624.7669134013
1956,8750,129830.304689523
1955,8750,134264.4560296365
1956,10400,117552.93789599078
1958,9482,146100.63864126184
1954,8128,138664.7969882641
1951,13070,136445.0531248757
1945,8480,106674.6004263301
1952,7626,144281.61406898993
1953,9533,120792.06733930485
1948,11419,182668.74958663763
1950,9600,121838.15865150187
1958,5470,71450.92488236974
1939,10800,140359.90018839177
1900,8146,96744.23563035067
1925,10230,138815.81886750305
1915,10410,151928.21170770106
1910,7200,173986.76050889894
1940,5400,44822.84438501437
1920,10800,99807.6875710599
1890,10800,46219.46728804527
1969,9671,208513.4915944498
1963,10143,161061.39584018223
1967,11500,128948.59570640435
1958,8010,174559.86635961448
1957,10454,131581.0110051153
1958,9000,145275.51314595592
1950,8064,139876.61799628483
1958,7350,130319.85128233733
1952,7200,104684.34735583572
1959,8000,137032.10352053834
1949,10800,117686.33656884466
1948,8064,150692.90603894222
1964,7570,162718.4031933859
1978,8604,122985.14305989222
1963,7936,142245.88020120654
1935,4080,128709.35551282871
1910,10307,158690.15303194613
1910,15660,125317.01873238343
1910,9900,119635.11673878242
1939,6406,146013.93945161515
1920,7627,97446.66540686697
1910,10134,100773.72747287659
1950,6000,120745.71735643716
1920,7404,88856.91127037346
1940,5925,33975.32424900566
1923,8520,97520.94841075424
1910,9600,113927.32733977737
1900,8400,179724.9583400854
1917,3600,138202.1698829956
1910,3300,43336.870346788564
1920,5400,131706.20089686956
1910,9720,155276.8526259115
1900,9392,43047.35361397824
1923,6615,150242.09607014092
1930,4960,147576.95581556676
1924,6000,98768.01843113019
1925,6120,105960.40055966066
1938,6120,132629.88487711037
1925,8635,149519.19736061964
1915,8094,146332.14233585336
1915,9928,159487.30311390228
1922,3000,78951.63872203791
1927,6876,151672.37786035126
1915,5775,118538.10211075254
1902,5852,116168.41741097439
1927,5160,129974.11308376699
1923,5160,79705.14401078966
1915,10320,115704.06414912846
1946,4280,105012.57410211659
1987,10800,150638.5713486019
1978,10547,124908.44121879607
1934,9780,83389.46121850835
1967,11625,128098.14466108743
1978,8014,143577.78525643615
1961,15400,158992.4333444773
1960,15312,151931.53103217206
1956,15584,189980.9140240941
1947,9000,25354.74944354419
1954,15635,122037.22082655737
1956,9571,114591.61981326617
1946,9350,146046.28617601984
1954,7440,122362.84692216045
1984,4235,116327.15392287585
1990,10778,168829.9621344152
1983,19255,153241.2406496752
1993,10560,226643.31994593365
1880,26400,139556.13577164288
1979,7018,157946.9440641489
1979,7018,115784.51596904131
1979,7040,142038.18066848716
1979,7007,117671.17536895948
2000,11855,294804.5748189448
2000,7939,293434.16739215836
2000,7976,293447.1155726464
2009,10933,349491.8399780679
2008,10816,351556.0466653329
2008,9178,228188.6351343079
2007,11422,295222.5022077202
2007,6762,209215.17446518494
2008,10324,220293.651978391
2005,11645,270902.92024138145
2005,11646,181760.40610991605
1992,16698,231246.36572928683
1994,9757,151416.489951318
1998,14753,200019.32828927482
1998,8750,190333.3519599785
2002,10739,203420.0843699981
2001,11166,209036.15464921593
1978,16269,116771.31629977132
1979,6950,128496.25602109538
2002,11664,242019.13610735588
2003,12334,245587.99539585132
2002,8749,195880.34679101355
2001,11250,205882.9713181338
1999,15750,247071.06387738127
2002,12782,293367.9636022124
1997,8750,218746.3987190185
2007,10200,256635.40551282535
2007,11069,172695.3152946302
1960,10682,107165.66674557225
2005,3675,145964.67329218503
1959,6410,87620.27283426926
1950,11767,132821.2522274742
1959,10926,114497.56342329907
1956,11767,133358.98941755955
1941,8212,120541.288191638
1938,6300,102530.90249352458
1935,5707,116471.56772514913
1916,8574,161216.83741301275
1918,7155,165752.08482353363
1940,13680,162020.57840852844
1960,14680,159208.28022359824
1940,8145,226095.48134407052
1954,9100,165157.54754388524
1960,13339,195879.02404636965
1949,15600,150296.54273268042
1954,17500,217431.12627372207
1980,1733,114079.15395331141
1980,1488,146699.78455843416
1980,1612,125959.55364063756
1986,13607,224886.69820543815
1971,17597,295859.73875411483
1900,8660,173043.6967304223
1925,10200,64464.98857580291
2007,3843,323680.3787245484
1910,21780,26179.47274809543
2000,10125,242784.4674619815
1977,9750,139101.57096492822
1977,9360,168275.25175194346
1991,11070,160952.01503341342
2008,13438,375908.687086027
2008,14463,340835.5678651789
1980,9839,221555.85046859132
1987,14419,219613.9464516393
2003,9157,218796.6017276254
2007,12633,375353.70047904295
1968,12518,125853.73903650328
1969,13383,152738.91497390252
1972,7689,115538.45951067178
1993,7706,136790.47455424038
1992,7669,131504.48905034078
1992,10429,133231.10228877908
1969,10457,191506.08677002756
1997,8702,173272.1687726747
1995,8139,163212.72835055058
1998,9535,199765.93238158867
1996,15038,172976.71590127746
1996,14137,172981.04430771456
1997,6264,254165.59800679568
1992,5070,202344.96797013792
1998,11184,171398.04897222875
1991,14067,175284.0794706462
1989,5950,225537.1642903646
2005,13543,359214.06218867016
2004,15401,378914.95750512736
1952,31220,145701.87425401513
2007,8118,332389.6493870629
1950,47280,164257.2750116726
1988,12680,241005.09172045958
1983,10825,193583.65466257036
1978,18559,241115.00980347293
1979,14450,204896.1059818951
1976,13068,175057.96547035535
1980,10400,189248.35447911534
1969,9743,129894.87317312148
1978,12511,271811.48663841473
1976,10400,148189.30634085892
1996,14311,272276.4360437677
1974,9000,141453.09350466123
1969,10295,96552.69209762473
1971,7560,123423.23753612323
1973,1680,95076.79982795577
1972,1890,110424.75343283518
1972,1680,101006.02115331596
1975,2308,141642.37021989204
1977,2529,134569.3312514849
2007,12704,297883.0314349453
2007,13693,408122.82935865317
2007,14418,388500.12907835445
2006,13418,404582.558806456
2005,12539,453579.27198716404
2005,12151,363201.1494117441
2007,8899,295005.0901490693
2004,10574,340168.79326839314
2003,12720,459186.40636697516
2003,10845,276357.2185246204
2001,16900,364117.9287289722
2003,16451,348582.8362718717
2008,10110,306941.562850045
2005,12304,199217.81819862168
2007,8232,338230.91952364787
2006,6240,218148.14170004136
2006,6240,205911.97357128334
2003,2448,188777.4096531825
2003,3940,234277.0278787386
2004,3940,213575.28730868414
2007,3710,201303.7017361683
2004,9024,179992.13941377893
2002,8010,199704.92290911806
2003,8396,215941.53254854935
2007,7301,219913.43621942183
2000,8220,226349.23220276288
2002,7750,183360.01131482158
1999,12460,236182.75688441534
1999,8390,184548.2108690317
1997,9660,294477.490292566
2000,11000,341709.8317773782
1998,11675,300539.4636936262
1996,10990,301440.3266457501
1995,11929,315902.3004810497
1993,10010,281983.00241595187
2006,13253,255809.39951950748
2007,9801,247641.98079402518
2007,9428,273028.77460057236
2006,10037,250617.14869926142
2007,8640,212892.90686791379
2007,10625,248418.020505346
2007,7500,213082.06225170934
2003,10110,204267.67953072855
2003,12774,204473.36776357546
2005,13072,149964.05723584103
2007,9260,186571.59276124666
1995,8453,172419.55391413596
1993,8480,180873.65491842385
1994,14565,200970.83533908468
2001,8450,195588.64612854272
1992,8285,196641.05203931892
1963,9100,124421.0570818326
1961,8100,137686.63995807507
1968,8450,101484.35676139613
1963,6360,107580.13922775484
1974,19508,180496.05530308787
1972,10759,138618.48131907065
1990,9205,299942.8447110901
1993,11025,358739.1456185217
2004,3435,168845.01441195462
2005,3180,155175.86474753293
2007,3180,167134.7366318211
1999,2280,161653.78743967254
2000,4765,260100.90237653028
2001,4538,243185.12761996785
2001,4385,268727.1494921573
1999,4109,251672.40218972234
1999,2160,175166.11570961578
2001,10646,218164.96555194026
1999,2645,202526.64158364208
1999,2645,204576.55251876835
1998,3951,316468.62274495914
1995,11064,231597.2265652756
1977,24572,317212.05429188896
1976,16280,295200.35848829156
2002,7500,215094.89183530275
1969,11104,176153.8747479575
1968,11050,188162.94936040515
1967,15387,197814.3028122231
1965,9750,136932.3178226388
1968,8814,145632.590357895
1965,8125,145920.0024176362
1965,11072,137197.47302282267
1971,13355,173366.0798479987
1956,7785,113529.15105900558
1961,9900,131951.8835640951
1960,11332,144467.7499136587
1937,4882,75704.43326392649
1960,9600,155670.34344670502
1950,9600,152870.53881525205
1953,7584,110469.98475212808
1966,14670,212181.84961305282
1957,8856,127225.84605955909
1959,9840,171616.9257587943
1958,13200,183436.06767343375
1956,10425,122497.43472845941
1952,11556,111679.95168184582
1953,9373,123239.14806646275
1953,12774,118591.98199392308
1957,14250,171318.5984104147
1957,8838,131342.12250821202
1957,12436,141384.2678693048
1948,10122,78951.63715120436
1925,7506,107215.25420506435
1940,5400,91759.91221658321
1922,10836,142056.2837282422
1968,10180,132638.855330171
1958,11355,155082.34520828747
1960,12929,160585.39077663783
1951,7200,122036.48378554406
1959,8000,153515.71934364398
1962,8000,122914.62052822203
1948,8064,136995.3973667298
1954,6390,121167.6494749327
1954,7200,123147.61434225117
1961,8513,139241.97734333528
1955,7200,148221.26987114837
1954,7200,99041.24553304624
1963,7590,115165.04211788387
2008,9836,147011.5275770349
1948,9184,132797.24725212497
1910,4800,96375.036681932
1940,4800,76187.8249141461
1915,6000,130022.62074577872
1910,11426,81814.80086385581
1940,7628,130761.27537028116
1920,7308,150502.42222408066
1920,5400,109821.99316493592
1940,10800,127009.12699343293
1910,6756,88198.6981334057
1890,5914,93592.4964524563
1946,9000,147211.05316146414
1946,7311,36067.04058702951
1949,12205,72772.05212232722
1900,9142,106301.89123763831
1920,5350,147028.8301464317
1900,9143,89663.50475180385
1920,9600,148293.86832208594
1905,6000,136361.20082878944
1920,11340,27666.954428852827
1890,10800,208892.81047381065
1959,9750,120309.25832813779
1958,8516,103066.00696216071
1928,7111,120983.82200175869
1945,7425,161601.0266285123
1935,7010,133810.54695914188
1941,5000,123704.31606475703
1900,5870,130394.74000071143
1940,6000,160672.1910599072
1924,6000,118453.81672470213
1937,6000,145849.52539776068
1939,6000,123381.8250389469
1926,5000,112860.86165556015
1920,5520,122006.79585582865
1946,5940,104357.69576260689
1929,6240,108893.94062678692
1945,6120,88993.72777013303
1939,6240,181564.2403280222
1923,6120,146273.32909135844
1915,9144,158149.1193553442
1910,8094,170906.32866467693
1910,4347,149026.0533468157
1930,6291,89675.94487680524
1952,10266,143781.97635936725
1938,6876,151578.87528880392
1915,10320,103980.23226529885
1925,7200,129927.92977959462
1925,7006,116640.94256637948
1912,10320,103433.65340993095
1915,10320,43118.81724704789
1947,9488,123966.35098415155
1963,11235,145015.0817817401
1978,13014,148518.887891201
1967,10265,142147.2564850105
1978,7703,169481.09044574338
1967,9981,128026.71808791708
1984,7400,141417.61471072386
1920,12900,118508.35967742573
1963,9239,146148.37080694406
1956,14175,187781.10140505034
1960,10532,152852.10309837485
1941,8375,138642.33147568346
1970,10200,155185.65338984656
1979,20270,229743.76116171005
1948,5190,128429.22904258016
1940,19550,171606.21989116108
1956,9571,195547.4957990199
1975,9350,91318.69436336955
1962,9360,142405.58507838217
1995,9771,255909.38522846706
1994,9938,224087.39783540549
1993,14171,235338.82996035807
1996,10541,230507.62560035172
2007,10616,181353.88656719567
2007,9345,238136.94217838405
2008,11778,368246.1203367971
2008,11778,345860.23686803586
1995,11454,249454.40609768376
1966,11500,198660.83895821002
1994,9750,159395.69829744098
1997,8696,222653.14418859343
1997,13142,187185.04141969295
2000,8998,194331.91930948888
2000,12192,214365.32029331947
1978,12250,158165.5887947168
1975,9216,134847.19566620205
1975,14330,163727.0525399529
2001,10400,222481.0615154677
2001,9720,261614.88402678858
2002,14860,304480.0184131251
2003,10905,235786.72632530867
1999,11690,217713.72674006634
2004,4426,143255.31639500824
1997,10126,227387.4535827273
2004,9750,196962.27689133357
2007,11058,216662.80237026647
2007,9627,195772.5520120719
1966,9825,130623.02631253109
1976,12102,141575.49660624182
1976,6500,145491.89760519646
1977,9638,158894.9936285033
1976,7200,159189.51523953068
1959,47007,324094.1421468875
1955,6012,60843.624680045235
1955,6845,53043.927209181056
1955,6931,75085.547254007
1938,12180,110629.47745655147
1947,8050,96380.21498413093
1953,9520,82098.44131445559
1954,7692,120550.41791285005
1923,5142,97766.46278155778
1921,7290,159254.8984596767
1930,7804,176810.7932143249
1926,8969,147561.89786061
1914,15564,151687.54821407338
1925,7609,195575.76198223233
1923,9650,155886.7034351535
1937,11700,169127.35102865592
1938,9260,130111.75595334513
1951,7801,155604.35825063428
1935,9670,216222.58982249134
1950,12392,239288.0037577183
1956,26073,214557.71857186878
1980,1879,116868.1211447207
1926,7000,121904.65678835582
1940,6000,125818.49765055213
1930,8155,104024.926268171
1967,6000,161012.55421880548
1930,7392,99996.4040638136
1958,9000,149690.0496524141
1952,14584,63561.48285378805
1895,5280,89234.76567127813
1910,5150,70455.82601574936
1920,9000,43997.957511845976
2007,3843,324401.4924905825
2004,3811,307101.05524464464
1996,23730,284179.23691432166
1996,11050,218564.48825308937
1976,10260,129078.44718698548
1991,9990,180516.3799087451
1986,4084,202152.57398967506
2006,11563,296429.7103981832
2007,12852,236667.22476119042
2006,9802,153877.78622892554
2008,12018,209062.20892466663
1989,12890,175948.5944638097
1986,18265,180827.04527649237
2003,11202,258629.6836955318
1999,7915,243538.54501190863
2007,11449,250471.57988300145
2005,11447,304843.32952744607
1997,8940,210648.18736863032
2007,9278,122000.23002714841
1997,4500,172362.74093689595
1964,14137,143666.24878981363
1975,4224,127407.40692141994
1976,2665,131783.94990720385
1973,1974,107278.13101213083
1973,1596,116681.18286330916
1968,17979,142570.9091414078
1970,1477,118416.07513997142
1983,6490,123133.84929097063
1982,6600,116478.21550918413
1984,12395,125864.55839984625
1900,56600,110687.30256458596
1971,10667,176380.30717149004
1997,8872,164757.135811929
1994,10147,172491.00194875215
1999,8637,193469.95439648096
1996,7875,178758.37842474075
1999,7500,209645.5389782049
1992,9556,155839.88788094185
1993,7655,171627.45773999402
1964,18160,144775.5952002063
1988,4740,221789.54706344573
1990,5118,232768.77261612983
2005,12328,360412.06708473735
2006,51974,404167.3730305519
1969,41600,179272.77273121418
2006,8035,306608.49987875065
2006,14082,366649.49961468705
2006,13870,410047.1795914615
1984,10960,160115.35991379217
1981,12090,190018.8470928169
1978,12299,203881.38520591217
1979,11339,209980.32463055901
1984,11850,154735.77067258247
1979,10400,174627.87145080522
1971,13001,154270.92321853206
1976,8991,193422.95707044046
1974,8000,188776.27308558105
1970,9457,153719.83881105005
1970,7920,120811.50146856277
1961,17199,107479.47217216785
2001,4113,162466.6996394756
1997,10943,168194.79674228228
1973,2205,114864.24486644006
1973,2058,132267.16394151546
1978,2304,131544.63401050522
1966,7150,117803.61193941327
2006,12469,380684.7663677265
2006,11825,292234.1595233221
2007,14333,321041.303963572
2007,13641,417151.39510522934
2006,13440,343533.8611133546
2005,15431,412836.6842952936
2007,13891,429213.8770619362
2005,13654,384388.7026807022
2007,17169,424649.21289869235
2007,16659,261718.31320454724
2007,9709,363870.38425839395
2006,13615,370976.5216697841
2004,13069,351768.2839259821
2003,14277,325584.0194497238
2007,12568,326314.738189172
2005,9926,255911.93290226493
2005,9254,250852.05157704643
2006,10732,245337.91575746072
2005,3901,199537.7181666554
2005,3903,200561.00817638327
2005,6289,212493.48748649433
2006,4590,221269.42649960384
2005,7841,306826.9067410326
2006,6240,204895.78550817588
2003,3242,216601.98520158575
2007,15810,181233.7816110932
2005,10237,178432.339054744
2006,13204,176174.5463044339
2006,8857,178710.9118501859
2006,9729,204126.31814672315
2005,12216,191944.73965241387
2007,8229,178852.5334621012
2007,7713,182293.3414413
2007,7697,178251.40855778533
2003,3621,249915.54760075832
2007,3710,189699.58005988598
2004,16219,204298.12088896474
2004,11084,198200.54935859513
2006,10936,207458.6167273312
2003,11950,190521.0654986387
2003,7875,204448.63516759055
2002,8740,222945.96884434426
2000,9487,187266.76965902076
1999,9649,182557.75847868033
1997,12191,328672.71609475696
1998,10557,394818.90379398747
1998,11002,315571.0018357552
1998,10790,274134.8367988751
1992,11762,306957.1082886614
1996,9044,307811.4869903772
2007,9910,202419.53506674885
2007,11830,246092.68299620005
2006,10612,229418.2883159424
2007,12291,374573.3971177222
2007,9965,214133.89315098454
2005,8847,237263.75287974736
2005,8251,227263.45945577387
2006,9605,233521.28783481152
2006,8778,231575.26279404893
2007,8640,208206.4919466758
2006,9000,197967.77740215388
2007,8640,236643.99281256009
2007,10411,181293.30617810073
2007,12217,313646.3489408025
2007,10440,266171.78754370275
2006,11824,243991.8534848512
2004,10625,252282.32466749387
2006,7500,140085.2108803195
2006,7500,157065.47663409173
2003,12450,163258.19157223083
2006,7441,195563.23221918652
1993,11613,194167.45274407018
1980,8012,123093.76173589307
1977,6285,116910.4615563211
1968,7476,144659.081968475
1990,19522,251642.32380705152
1974,10751,157483.18579026006
1973,12712,185154.6726233846
2004,4379,214489.53046076483
2006,3523,183165.28096530144
2006,3784,205171.6504062023
2006,3606,217615.27980140597
2006,5330,201139.29734994797
1999,2280,160130.45989712424
2000,2117,154887.5947900383
1999,7321,199251.80959787234
2003,8010,294305.9565251556
1998,8413,307512.434350319
1994,9466,249119.63680547787
1980,12000,286806.4743358465
1981,17778,326834.1160613623
1968,11700,151200.7849502841
1970,8000,225865.61376935057
1969,8723,154527.63008465315
1968,11700,170574.5513306006
1972,11358,216328.50007330714
1993,9547,194898.16260968952
1993,10530,233243.65788117555
1966,10738,167830.23657341156
1963,10800,130245.95571025828
1967,8050,131921.58675824694
1964,10899,105024.09523477519
1956,7450,120612.96570558715
1961,14357,146144.07029901206
1961,8243,127283.71440056212
1960,8680,117316.42240279706
1966,8800,164346.58642773
1965,9200,139852.53811215842
1964,8800,206627.97196947536
1964,11382,141152.29193781508
1959,22002,209367.03492187068
1940,12172,121605.8781157758
1946,5000,58120.11116110334
1945,3500,59409.75908961294
1958,5175,123083.49476802324
1955,9600,139613.76534028942
1968,8668,135267.89910740597
1966,10050,139193.72913614786
1961,9600,166564.56012181728
1957,8760,134899.20687773055
1956,6860,122302.24135890102
1963,8250,153219.0940793858
1960,9100,110559.11735271035
1957,9736,185551.06298333633
1957,9770,109817.69039227584
1955,12198,157012.04435246627
1955,10050,127917.19299164065
1953,11556,162014.20641656654
1958,8078,130955.72307267149
1952,10950,129440.27494729828
1953,7942,130603.12179974196
1956,8540,128961.58936209511
1955,7150,125284.81103166645
1955,8400,118036.9112497181
1953,9532,133821.22284893176
1952,15783,108873.80752335685
1890,14190,113934.00751875443
1953,12099,153065.25438147024
1935,21281,213879.60320047435
1925,10284,125960.96773068052
1895,10800,125246.05409885441
1963,10090,184503.1745903946
1961,8700,102694.6101422076
1968,8300,134526.50486362167
1950,7200,105389.31748242301
1959,7500,151548.39952019832
1958,7315,153618.9362467754
1960,7903,149422.21833532397
1960,8000,161925.57122984924
1961,7000,123657.66609807032
1962,6600,104580.114679792
1962,6760,114157.55213005996
1926,6978,105105.86194716662
1927,6000,127636.0654117294
1922,4480,103367.67912059865
1920,3153,95506.27694007894
1940,7200,140282.16573615812
1900,9000,109453.34234459553
1900,5925,81631.41665935947
1900,9639,134016.50109140514
1910,10337,200720.9431444251
1927,9863,148410.86126745728
1910,4571,114000.81482990632
1910,8398,151781.84615043356
1930,3600,122034.31875949424
1879,13500,197261.5561738214
1956,8626,98564.10555781712
1949,11800,106853.68364736461
1925,6854,117451.07484065542
1950,8674,150587.37952896042
1939,6125,126944.72272744733
1939,6000,139514.3698170989
1939,6120,114022.18850510975
1938,6240,157206.0743340995
